tweet,date,retweets_count,link
 상태다 주어와 목적어가 없다 윤석열이 자유주의자라면 이승만 자유당의 반복일 뿐이다 경제분야 규제를 free 한다는 점이 문제의 가장 큰 부분이다 그래서 더 큰 자유를 가진 조직이 더 작은 자유를 가진 조직을 억압하게 된다 삼성이나 구글 애플이 노조와 민중을 억압하듯이 말이다 ,2021-11-22,0,https://twitter.com/aaidee/status/1462442604478435329
어쨌든 그래선 절대 안 되겠지만 윤석열이 통령 돼서 나라를 얼마나 망가뜨릴지는 말년이나 정권 끝난 후에나 가시적이 될 거고 그 시점에 다시 정권 탈환을 하면 1 2년 내로 거봐라 민주당이 정권 잡으면 경제 망한다 안 카더나 소리 나올 거다 그때 누가 될지 흥미롭군 ,2021-11-21,0,https://twitter.com/kirasi/status/1462420006860328968
김한길이 윤석열에 붙는다 골 때리네 우리나라는 정치 경제 문화 교육 종교는 다 갔다 갔어 김한길 출생이 경상북도 인가 민주당 아니었나 애초 정치 시작 그 시발점이,2021-11-21,0,https://twitter.com/kjw93454806/status/1462406414555508739
주 120시간 일하고 푹 쉬어야 한다는 윤석열 청년들의 스타트업 사업을 파격적으로 지원하겠다 윤석열은 신문 경제난도 안 읽냐 전 세계가 코로나 질환으로 정지되다시피한 지난 2년간 각 나라의 청년 일자리가 줄어들 때도 대한민국은 일자리가 창출되고 벤처 스타트업 기업 매출이 역대 최고치다 dhxkYu9yms,2021-11-21,35,https://twitter.com/usminjooforum/status/1462405462574387215
윤석 열라는 검사 특권의식에 몸에 밴 자가 대통령이 된다면 대한민국은 민주공화국이 아닌 검찰공화국이 된다는 사실이다 아울러 법조 카르텔의 전형인 전관예우를 통한 유전무죄 무전유죄는 더욱 공고히 될 것이며 계층 간의 갈등과 불신을 의해 사회 혼란으로 인해 경제의 충격으로 이어질 것,2021-11-21,0,https://twitter.com/Heomikael/status/1462396730146648067
 harry_iniyuni 윤석열이 말했다면 어릴 때부터 경제교육은 중요하다고 평가했겠죠 님의 시각이 혐오스럽네요 ,2021-11-21,0,https://twitter.com/schumpeterian/status/1462338250295504897
 속보 윤석열 총괄선대 위원장 김종인 상임선대 위원장 김병준 SmGk22rlYf,2021-11-21,1,https://twitter.com/sedaily_com/status/1462300009458987008
억강부약 대동세상을 주장하는 이재명이 자신이 자본주의의 전도사인 것처럼 윤석열을 공격한다 이게 무슨 일 6hhKSjxN3i 이 후보는 대통령이 자본주의 시장경제의 핵인 자본시장을 모르면 대한민국 경제가 위기 시대 국제 경쟁에서 살아남을 수 없다 ,2021-11-21,4,https://twitter.com/4freekorea/status/1462287047918510083
이번 선거가 상당히 재미있을 듯하다 이재명과 윤석열 이 각각 삼 프로 tv에 출연하여 자신의 경제관을 논하고 밀떡 유튜브에 나와 국방을 논하며 긱블 이나 미 부엉이에 나와서 과학기술에 대한 담론을 하며 김우선에 나와 영상문화에 대한 이야기를 한다면 확실히 최순실은 없다,2021-11-21,0,https://twitter.com/eggiscomming/status/1462283326203465735
 윤석열이 경제 망친다는 글 공유한 이재명 자본시장 견해 밝혀야 다음 뉴스 rfYpaFmTOL,2021-11-21,0,https://twitter.com/fKGZ8HafZ12106x/status/1462281197552242692
